review_text,usefull,unusefull,product_name,category,stars
Хорошее приобретение,4,1,Робот для мойки окон,Бытовая техника,5
"Самое главное - работает,но не сразу,через какоето время.",0,0,Средство от сорняков,Товары для сада и огорода,5
"Принимаю этот бустер в комплексе с витаминами, эффект потрясающий. Уверенность и энергия на высшем уровне.",0,0,Бустер тестостерона,Спортивное питание,5
"отличный пред тренировочный комплекс, 100% эффект, откат после тренировки минимальный",0,0,Предтренировочный комплекс,Спортивное питание,5
Идеально,0,0,Водонепроницаемая экшн-камера 4k,Электроника,5
все входы работают,0,0,Переходник Type-C,Электроника,5
"Единственный и очень существенный минус вижу в производительности. За весь день на максимальной скорости так и не смог достичь влажности даже в 40%, несмотря на то, что дышать стало действительно легче. Возможно, сам тупанул. Ставил его подальше от батареи. Условия эксплуатации: на улице -25, в квартире на полную жарит отопление, площадь 17-20 квадратов.",5,0,Увлажнитель воздуха с ароматизатором,Бытовая техника,4
"Товар порадовал. Моет хорошо, однако  в самых концах  углов стеклопакета не достаёт.",0,0,Робот для мойки окон,Бытовая техника,5
"Работает отлично, рекомендую",0,0,Вакуумный упаковщик,Бытовая техника,5
"Создалось впечатление, что на горшке сидел ёжик. Весь посечен как будто ему лет 5.",1,0,Детский горшок,Товары для детей,1
Слабый поток.,0,0,Увлажнитель воздуха,Бытовая техника,4
"товар пришёл другого цвета. заказывали светло-зеленный, а пришёл белый",0,0,Отпариватель для одежды,Бытовая техника,3
"Наша вторая коробочка, первая была со вкусом арбуза. Мужу очень понравился, мне тоже кажется, что добавляет сил и выносливости. Рекомендую",1,0,Предтренировочный комплекс,Спортивное питание,5
Аботает,0,0,Считыватель карт,Электроника,5
"Развела пол флакона на 6 литров воды,считаю слабоват раствор,результат не оправдал описания препарата,попробую на меньшее количество воды.",4,1,Гербицид,Сад и огород,4
"изначально спадали с уха, немного прижала металл с обоих сторон, и теперь хорошо держаться",5,0,Женские серьги-клаймберы с жемчугом,Ювелирные изделия,5
Шнуры к свету гнездо не подходит.,0,0,Штатив для телефона,Электроника,4
"Использую 2 недели, пока всё отлично.",0,0,Увлажнитель воздуха,Бытовая техника,5
"Жесткий,безвкусный",0,0,Пищевой мел,Продукты питания,3
"Просто супер, энергия, желание улыбаться да и в целом жизнь стала прекраснее, всем советую, жаль, что других вкусов нет только",0,1,Предтренировочный комплекс,Спортивное питание,5
"Серьги моей мечты, довольна как слон! ",0,0,Женские серьги-клаймберы с жемчугом,Ювелирные изделия,5
"отличные наушники, к качеству претензий нет. Покупал дочке на ДР",0,0,Наушники,Электроника,5
отлично,0,0,Термопринтер для этикеток,Офисная техника,5
всё отлично рекомендую,0,0,Карта памяти,Электроника,5
"Термос отличный! Предварительно прогрел термос кипятком за два раза, потом заполнил почти под самую крышку (~550 мл) супом (разогретым до кипения). Заправил в 9:00 весь день термос был со мной в машине, в 21:30 открыл - суп тёплый!!!",1,0,Вакуумный термос,Посуда и кухня,5
ещё не испытывали),0,0,Детский горшок,Товары для детей,5
"хорошо упакован,жир беленький чистенький ,навкус непонятный нивкуса незапаха",3,0,Топленый жир говяжий,Продукты питания,5
норм,0,0,Латексные перчатки,Товары для дома,5
все работает проблем не было,0,0,Карта памяти micro SD 128gb,Электроника,5
Красивый мишка . Брала в подарок однокласснице сына. Все понравилось,0,0,Плюшевый мишка,Игрушки,5
все так как и должно быть,1,0,Карта памяти SDHC,Электроника,5
"Спасибо, все оперативно.",0,0,Предтренировочный комплекс,Спортивное питание,5
как всегда долбит колбасит на высшем уровне,1,0,Предтренировочный комплекс,Спортивное питание,5
"Отличный робот. С первого раза  как то пошло всё не так, а потом разобравшись все пошло на отлично. Рекомендую. 👍",0,0,Робот для мойки окон,Бытовая техника,5
"Проверил с помощью программы h2testwю (без буквы Ю название программы воспринимаеться как реклама...) Реальный обЪём соответствует прописанным в биосе карты ~59gb. Да меньше чем заявленно на упакове но хотябы честно, и потерь файлов как в поддельных картах быть не должно. Но за такйю цену крепкая 4ка...",9,0,Карта памяти 64GB,Электроника,4
"Занимаюсь бегом на длинные дистанции и жимом. Ни выносливости, ни увеличения веса в жиме на раз.",3,1,Бустер тестостерона,Спортивное питание,1
Очень вкусная и полезная!,0,0,Мука из семян конопли,Продукты питания,5
"Сегодня пользуемся первый день, но уже радуемся покупке! 🥰 Взяли для новорожденной дочки в комнату. Показывает четко и температуру и уровень влажности ) ",0,0,Увлажнитель воздуха,Бытовая техника,5
"Ещё не надевала, т.к третий прокол немного зарос, но думаю смотреться будет супер. Выглядят как золото. Я в восторге, спасибо. Рекомендую 👍🏻",0,0,Женские сережки каффы,Ювелирные изделия,5
"Камера работает отлично, очень хорошо запакована, пришла в идеальном состоянии, спасибо продавцу!",1,0,Водонепроницаемая экшн камера 4K,Электроника,5
"Пьются , если разводить с водой , нормально,приобрела по совету нутрициолога",1,0,Цинк,Здоровье и красота,5
работает в регистраторе,1,0,Карта памяти microSDXC 64GB,Электроника,5
"Ребенок счастлив, очень классная жд, но коробка поступила чуть мятая",0,0,Детская железная дорога,Игрушки,5
"Незаписываемые кирпичики, хотя чип и антенна присутствуют.",0,0,Ключ для домофона,Электроника,1
Уже 3 увлажнителя этой марки купила. Два больших и один маленький. Не оставляет белого налета. Не надо часто заливать. Можно добавить ароматизатор,0,0,Увлажнитель воздуха с ароматизатором,Бытовая техника,5
"Прекрасная камера, очень доволен",0,0,Экшн камера 4k,Электроника,5
Тоже самый лучший,0,0,Пищевой мел,Продукты питания,5
"Отлично! По утрам чтоб проснуться 1 капсулу и как электро веник. Бодрость, ясность, красота!",0,0,Предтренировочный комплекс,Спортивное питание,5
"Пришел в рабочем состоянии в се элементы на месте,  делает фотографию нормально Оцениваю на пять звёзд",0,0,Водонепроницаемая экшн камера 4K,Электроника,5
"куски хорошие,крупные,мел вкусный и хрустящий, спасибо",0,0,Пищевой мел,Продукты питания,5
качественные,0,0,Мужские трусы боксеры,Одежда,5
Отличный керамзит👍Пришло всё быстро и герметично упаковано. Спасибо большое продавцу👏,5,1,Керамзит для растений,Товары для дома и сада,5
"понравилосьто то , что при достижении влажности в комнате определённой , которую задал на дисплее отключается.",0,0,Увлажнитель воздуха,Бытовая техника,4
"Очень понравился! Рекомендую. Всё в комплекте,всё работает.",5,0,Робот мойщик окон,Бытовая техника,5
"упакован отлично, быстро собрали,все работает, в эксплуотации посмотрим позже",0,0,Увлажнитель воздуха,Бытовая техника,5
"Купила эту фирму первый раз. Многие рекомендовали их витамин д3. Решила взять еще магний кальций и железо. На вкус просто ужас как по мне, даже разведение морсом не помогает. Такую форму пожалуй больше брать не буду. Еще по составу только когда начала пить увидела хлор. Есть по нему сомнения но еще не читала про него. В целом по ощущениям и заметному результату явно рано говорить через месяц сдам все анализы, чтобы посмотреть в динамике как идет работа с дефицитами",0,0,Магний,Здоровье и красота,4
Мне нравится. Даже с донглом от зарядки  и жёстким чехлом все отлично. И шнурок оооочень длинный. Даже у толстой хозяйки остался свободный край 😅,14,0,Шнурок для телефона,Аксессуары,5
Очень нужная штука дома. Зимой в квартирах воздух сухой. Этот увлажнитель-спасение. Плюс функции аромо и ионизаниции очень нужные. Работает тихо. В комнате вкусно и комфортно. Благодарю продавца и производителя.,1,0,Ультразвуковой увлажнитель воздуха,Бытовая техника,5
Оличные венгерские витамины. Только цинк. Берём постоянно. Цена-качество,0,0,Цинк,Здоровье и красота,5
"Очень понравился, ночью работает тихо, помогло при аллергии. Увлажняет хорошо. Стоит своих денег ☺️ Огромный плюс он очень красивый) Спасибо продавцу, все отлично. Покупайте не пожалеете 👍👍👍",2,2,Увлажнитель воздуха,Бытовая техника,5
"Очень оригинальная упаковка, много сюрпризов - чай, конфетки, мини-шоколадка, карта лояльности! Отлично подойдёт на подарок!  Но есть одно Но... На мой взгляд, было бы безопаснее, если банка была просто с крышкой, т.к. во-первых, довольно сложно  открывается консервным ножом, до конца открыть трудно и, доставая содержимое, можно пораниться об острые края. Во-вторых, при открывании в самом начале под нож попал пакет с протеином, и порвался, теперь зип-застежка не закроет пакет герметично, потому что ниже есть дырка.  А в целом, конечно идея упаковки  интересная. Спасибо за подарочки!",0,0,Подарочный набор протеина,Спортивное питание,5
рабочая рекомендую,0,0,Карта памяти microSDXC,Электроника,5
"из всех продавцов меня угораздило выбрать этого!шкаф доставили с повреждениями фасадов,комплектующие положили от другой модели, соответственно не хватило ножек,штанги. В подвесной тумбе не хватило центрального фасада!от кровати доставка которой 1.5 месяца я решила отказаться! огромное спасибо за предновогоднее настроение и хлопоты с возвратом!",10,0,Двустворчатый шкаф,Мебель,1
"не думала, что из всех сортов этот окажется таким интересным, вкусным. нежный, легко откусывается.",0,0,Пищевой мел,Сладости,5
Купил подарок жене 👍 понравилось спасибо продавцу рекомендую просто супер,0,0,Эпилятор,Бытовая техника,5
"Вкус нормальный, рекомендую.",0,0,Предтренировочный комплекс без кофеина,Спортивное питание,4
У основания лап не плотно набиты🤦♀️,1,0,Плюшевый мишка,Игрушки,3
"Результата 0, информации для разведения 0",6,0,Гербицид,Сад и огород,1
Отличная вещь. Просто незаменимая. Мытье окон теперь удовольствие.,2,0,Робот для мойки окон,Бытовая техника,5
"Заказывала пиленое Ассорти, а пришёл просто мел одного сорта, мягкий, похож на ""Севрюково"". Обидно, я не люблю этот сорт",0,0,Пиленый мел,Товары для творчества,3
"Жене очень понравились, заказ пришёл раньше назначенного времени, очень вовремя",0,0,Женские серьги с подвеской,Ювелирные изделия,5
Лучшее средство для хорошей тренировки !💪,0,0,Предтренировочный комплекс,Спортивное питание,5
"Ставлю 5 звёзд  за быструю доставку, мел пришёл хорошо упакован в зип пакет, чуть чуть влажный, мне не зашел не понравилась крупинка, поняла что мел с крупинкой это не моё.Вкус меловой, мел тяжёлый, но откусаваеться легко, крупинка до конца. Спасибо продавцу за качество и доставку. ",0,0,Пищевой мел,Продукты питания,5
"Пришёл в целой упаковки, и сам целый. Работает как заявлено продавцом, рекомендую.",0,0,Увлажнитель воздуха,Бытовая техника,5
на весну для рассады самое то и по отл цене. Спасибо!!!!,0,0,Грунт для ароидных,Товары для сада и огорода,5
"заряжается быстро, снимает качественно.",0,0,Водонепроницаемая экшн камера 4k,Электроника,5
"отличный псилум. пьём вечером, 1 ч.л. псилума, разводить в 2 ст. ложках греческого йогурта, дать постоять час и съесть. и будет вам счастье в виде регулярного стула, отсутствия вздутия и прекрасного настроения.",5,1,Псиллиум шелуха,Здоровье и красота,5
"отличная карта памяти, рад покупке, цена подарок",1,0,Карта памяти 64 ГБ,Электроника,5
Чудесно,0,0,Водонепроницаемая экшн камера 4k,Электроника,5
"шкаф хороший, всё доставили быстро.",0,0,Распашной шкаф,Мебель,5
плохая запись звука,0,0,Водонепроницаемая экшн-камера 4k,Электроника,3
Доставка вовремя,0,0,Предтренировочный комплекс,Спортивное питание,3
Все отлично,0,2,Анаболический комплекс,Спортивное питание,5
Шкаф установили на лоджию для хранения. Все понравилось.,0,0,Шкаф пенал,Мебель,5
отлично!!,0,0,RFID браслет,Электроника,5
Мне понравился,0,0,Робот для мойки окон,Бытовая техника,5
"долго не думая приобрел данную камеры для жены, она хотела брать ее в поездки, кадры отличные,изображение четкое, ни чуть не уступает оригинальным камерам",0,0,Экшн камера 4k,Электроника,5
"Шкаф хорошего качества. Был приобретён для установки в проем стены. Цвет совпал с цветом дверей, что очень хорошо. Удобно, что нет ручек, открытие происходит одним нажатием на дверку.. Рекомендую.",0,0,Распашной шкаф,Мебель,5
"главное достоинство,что не содержит возбудителей,ни таурина ,ни кофеина,ни гуараны.",1,1,Предтренировочный комплекс,Спортивное питание,5
"Портативный принтер очень удобен и подходит для моей работы, чтобы распечатать какой-нибудь важный контент.Быстрее, чем записная книжка.Более того, внешний дизайн очень симпатичный.Мне очень нравится этот продукт.",1,0,Термопринтер,Электроника,5
брак не работает,0,0,Карта памяти microSD 8GB,Электроника,1
"дико сушит, хотя бы начала воду пить, желудок уменьшился, есть не ем, по весу скинула 4,350 за 10 дней",2,0,Капсулы для похудения,Здоровье и красота,5
Всё работает! Качество нормальное - рекомендую.,0,0,WiFi адаптер USB,Электроника,5
Отличный многофункциональный переходник,0,0,Переходник Type-C,Электроника,5
"Есть не хочется, никаких отрицательных ощущений не почувствовала.",0,0,Капсулы для похудения,Здоровье и красота,5
"Карта не работает,пишет неисправна, буду возвращать",2,0,Карта памяти micro SD 128gb,Электроника,1
работает,0,0,Увлажнитель воздуха,Бытовая техника,5
"ужасно, врядли восстановят данные",0,0,Карта памяти microSDXC 128GB,Электроника,5
"Сразу отмечу основной недостаток, КАЧЕСТВО СЪЕМКИ ОЧЕНЬ НИЗКОЕ! Изменение настроек и параметров результата не дали. Ребята, я не блогер, мне нужна была камера снять кое-что на мотоцикле в дороге для домашнего просмотра(для себя). Даже самому смотреть противно. Не тратьте деньги зря! Во всем остальном она не плоха, большая комплектация, красивая коробка, но не ведитесь на внешние плюсы. НЕ РЕКОМЕНДУЮ, и думаю в этой ценовой категории будет всё одинаково.",7,0,Водонепроницаемая экшн-камера 4k,Электроника,2
"супер помощник,жаль раньше не знала о нём.Правда не сразу разобралась как пользоваться,но продавец помог ответил на все вопросы.Однозначно рекомендую 👍",0,0,Робот мойщик окон,Бытовая техника,5
"Товар хороший, но доставка подкачала. Доплатила за скорость, а получила почти на неделю позже, чем должна была.",0,0,Карты доступа Mifare 1k RFID NFC,Электроника,3
"был такой же горшок у первого ребёнка, но другой фирмы. Этот горшок сделан из более тонкого пластика, чем наш первый. А так функцию выполняет",0,0,Детский горшок,Товары для детей,4
"Все работает, отпаривает",0,0,Отпариватель для одежды,Бытовая техника,5
"пришел быстро, буду пробовать",0,0,Льняная клетчатка,Продукты питания,5
беру постоянно для тренировок,0,0,Теакрин,Спортивное питание,5
"Спасибо, отличные браслеты, записались,работают, подойдут на женскую и среднюю мужскую руку.",0,0,RFID браслет,Электроника,5
Не программируется на домофоны Умный дом. Подходит только к старым домофонам. Очень обидно. Заказала несколько видов ключей и ни один не смогли запрограммировать,0,0,Ключ-брелок для домофона,Электроника,1
всё отличного качества!быстрая доставка!,0,0,Грунт для ароидных,Товары для сада и огорода,5
"Зря выброшенные день. При работе издаёт ужасный звук - то ли скрип то ли свист. Насадка с лезвием срезает не под корень, а оставляя часть волоса.  Насадка-эпилятор крутится медленно из-за чего кожу как будто зажевывает. Просто ужас...",0,0,Эпилятор,Бытовая техника,2
"купили увлажнитель воздуха КТ-2877-1. Пользуемся каждый день, очень нравится. Работает отлично. Есть регулировка подачи пара. Есть таймер отключения. Так же звуковое оповещение при малом количестве воды. Циферблат показывает какая влажность. Не пожалели что купили.",0,0,Увлажнитель воздуха,Бытовая техника,5
"Не плохой увлажнитель, тихий, ожидания оправдывает",2,1,Увлажнитель воздуха,Бытовая техника,5
ну пойдет😉,0,0,Анаболический комплекс,Спортивное питание,5
"Не знаю кто там пишет про качество,но оно на уровне дешманского телефона за те же деньги",8,1,Водонепроницаемая экшн камера 4k,Электроника,1
"В комплексном подходе скорее помогают,  уменьшают тягу к сладкому, вес потихонечку уходит, и наверное это всё же индивидуально.",0,0,Капсулы для коррекции фигуры,Спортивное питание,5
"Препарат однозначно рабочий! Начал прием 1,5 недели назад. Вес был 74,5. Сегодня весы показали 77,3. Пью каждый день вечером после ужина. Первые 2 дня пил с утра после завтрака- состояние было мутное и болела голова ужасно все время. Сделал перерыв 1 день и стал пить вечером. Сон с него  больше похож на кому. Во снах то шпилю кого-то, то обладаю телекинезом, утром хочется спать до обеда. Сегодня принял и через час на тренеровку погнал - памп очень сильный, мышцы каменеют.  Параллельно принимаю всаа,  витаминки- комплекс и креатин.  Пекарь по утрам торчит, видимо тесто еще не упало, пока пилит исправно, надеюсь не покинет чат к концу курса. Ах да, занимаюсь 2 месяца после перерыва в 3 года. До этого весил 86кг. Рост 183. Предыдущий опыт качалки 10 лет из них 7 в натураху и около 3х основного прогресса на АС очень легких курсах типа турик,  пропик, мастерон, стан и комбинации иже с ними.  Всем роста без побочек!  Будет че интересное по курсу, допишу.",40,1,Анаболический комплекс,Спортивное питание,5
"Не пробовала применять, упаковано хорошо",0,2,Грунт для ароидных,Товары для сада и огорода,5
не зароботал,2,1,Увлажнитель воздуха с аромадиффузором,Бытовая техника,1
"годная вещь, удобная. если нужен эспандер то только такой",0,0,Эспандер кистевой,Спортивные товары,5
нет даже упаковочного пакета. вся банка в ошметках от картонных коробок и прочего. как минимум не гигиенично. кладите хотябы в почтовый пакет,0,0,Анаболический комплекс,Спортивное питание,4
Все отлично,0,0,Карты доступа Mifare 1k RFID NFC,Электроника,5
"Стандартеый,рабочий предтрен.",0,0,Предтренировочный комплекс,Спортивное питание,5
"Лёгкая сборка, классный цвет",0,0,Распашной шкаф,Мебель,5
Оригинал. Качество как и до санкций великолепное.,0,0,Мужские трусы,Одежда,5
На 95 кг веса не сработал,0,0,Предтренировочный комплекс,Спортивное питание,1
"Эта экшн-камера просто находка! Легкая в использовании, отличное качество записи и множество аксессуаров в комплекте. Снимал на ней все — от велопрогулок до семейных праздников. Очень доволен!",1,1,Экшн камера 4k водонепроницаемая,Электроника,5
"Хорошая, интересная, ребенок оценил, играет !",0,0,Железная дорога с электропоездом,Игрушки,5
"Карта рабочая, можно брать.",0,0,Карта памяти microSD 8GB,Электроника,5
"все по размеру, качество хорошее, рекомендую!",0,0,Мужские трусы боксеры,Одежда,5
"получила товар очень хорошо упаковано, быстро, пока увлажнитель не испробовала, потом добавлю.",1,2,Увлажнитель воздуха,Бытовая техника,5
"На любителя. Без вкуса, огромные куски, крошится. В горле, после поглатывания, ощущение песка.",0,0,Пищевой мел,Продукты питания,2
"Работает, если пить курсом",0,0,Экдистерон,Спортивное питание,5
"Как ни странно, по такой цене, и рабочий... Не штырит, не колет, а просто работает... По силовым не знаю, а выносливости добавляет... ПыСы. Эффект плацебо исключён, ввиду большого стажа тренировок, и приёма веществ😬",3,0,Предтренировочный комплекс,Спортивное питание,5
"Хороший отпариватель, упаковано серьезно, ничего не повредилось при доставке. Посмотрим сколько прослужит",0,0,Отпариватель для одежды,Бытовая техника,5
"Суперский, отлично справляется с работой, сегодня отмывали стены от никотина, не ожидали что он справится",4,0,Робот мойщик окон,Бытовая техника,5
"Впечатление положительное. Регулятор, счётчик. Впервые сталкиваюсь с инопланетными технологиями и вполне доволен.😀",0,0,Эспандер кистевой,Спортивные товары,5
"Хороший товар, сомневалась, но как оказалось напрасно. Есть незначительные минусы(трубка в контейнере с водой находится в горизонтальном состоянии и поэтому начинает плеваться когда воды остаётся мало, видимо начинает хватать воздух) , но мне это никак не мешает, просто доливаю воды и парю дальше. Отпариват хорошо, кроме сильно грубых заломов, но их и утюг не всегда берет",1,0,Ручной отпариватель,Бытовая техника,5
Буру всегда,0,0,Топленый жир говяжий,Продукты питания,5
великолепные серги. советую ,0,0,Серьги женские с фианитами,Ювелирные изделия,5
👍👍👍,0,0,Предтренировочный комплекс,Спортивное питание,5
Покупал для регистратора. Установил. Пока все хорошо.,0,0,Карта памяти microSDXC 64GB,Электроника,5
"Не понравилось,без вкуса не понятно 😏",0,0,Мел кусковой,Продукты питания,1
Не все хагрязнения отмывает,0,0,Робот мойщик окон,Бытовая техника,3
"Хороший принтер. К качеству печати и скорости претензий нет. Работает через приложение FunPrint. В отличии от другого принтера с той же программой, добавилась настройка оттенков при печати фото, но рекомендуется спец. бумага, на обычной не очень. В целом отлично.",0,0,Термопринтер,Электроника,5
всё работает удобный,0,1,Увлажнитель воздуха,Бытовая техника,5
"Вроде нормально работает, свою функцию выполняет. Комплектация без пульта. Отсек для эфирного масла есть, а вот как ионизация осуществляется х/з, не нашел её тут. Единственное при работе имеется звук журчания воды, кого раздражают разные звуки имейте это ввиду.",4,0,Увлажнитель воздуха,Бытовая техника,5
